epoch,train_loss,mean_abs_action_error
1.0,0.13807228633335658,0.17786003606660025
20.0,0.04752645609634263,0.11080464848450251
40.0,0.03181041425892285,0.08974215622459139
60.0,0.021245992609432766,0.07328144077743803
80.0,0.015598233656159468,0.06234454640320369
100.0,0.011972339318266937,0.05445930021149772
120.0,0.00998644634549107,0.04982955210975238
140.0,0.008173680544963905,0.04515155319656645
160.0,0.007804950659296342,0.044198832554476604
180.0,0.006154210280094828,0.03947942544307027
200.0,0.005551740779940571,0.03760587189878736
220.0,0.005037941650620529,0.03606952482036182
240.0,0.004194427328184247,0.03303372732230595
260.0,0.0038128777473632777,0.031468969051327025
