command,reward,command_distance,line_distance,yaw_distance,x_distance,y_distance,cross_track_error,heading_error,length,terminated
idle,63.98402581095937,0.0,0.0,0.0,5.564188399785655e-05,4.9495908495204975e-05,4.9495908495204975e-05,0.00090217651635216,400,False
fwd1,85.44937359930188,0.6409412724144843,0.6409412724144843,0.0,0.6409412724144843,-0.15390990861781564,-0.15390990861781564,-0.7050380115984316,400,False
back1,-271.0692239597958,-0.3037853557139663,-0.3037853557139663,0.0,0.3037853557139663,0.249995641525042,0.249995641525042,0.4545610633553139,400,False
fwd05,2.9113867039891703,0.13757156499737427,0.13757156499737427,0.0,0.27514312999474855,-0.05535845954675498,-0.05535845954675498,-0.46577344702911816,400,False
back05,-11.450746704063972,0.042070539441259776,0.042070539441259776,0.0,-0.08414107888251955,-0.17532637006080432,-0.17532637006080432,-0.2853853021261554,400,False
yaw_l1,517.0344204282401,0.23146713956751747,0.0,2.3146713956751737,0.15498452455877268,-0.3096439203750523,0.33071310591726366,-1.0021432971452473,400,False
yaw_r1,682.8490909802211,0.41789588603817146,0.0,4.178958860381713,-0.4013766556607387,0.09666806656745748,-0.03016022707510392,-0.8621441675612864,400,False
yaw_l05,79.90144692329791,0.06229018189684467,0.0,0.6229018189684468,-0.12811877480982659,-0.16505315160175515,-0.14114756137223664,2.7289889451163916,400,False
yaw_r05,324.98516543645076,0.24515169774123408,0.0,2.4515169774123415,-0.08192490420384395,0.15051157543926003,0.09392200334321445,-0.10303395482461752,400,False
arc_fl,-45.78610560722593,-0.004385090149129966,-0.01203698528744202,0.07651895138312022,0.01112572871706524,-0.027452536644463215,-0.022683150018769613,-0.9826872123098234,65,True
arc_fr,-26.083026028620104,-0.012489452341168314,-0.014655494364077334,0.021660420229090333,-0.05876538988021816,-0.009314259322469721,-0.05605322486771458,1.7330565425298659,105,True
arc_bl,-35.54567388139327,0.1134474083973644,0.10526290854091296,0.08184499856451506,-0.6007579381078031,0.15021011762956515,0.38620739291699246,-0.3198932662996459,400,False
arc_br,52.89877555900007,0.15452532852650183,0.1528635657898437,0.0166176273665798,-0.7451626163157534,-0.3944565034694522,-0.66837006060244,0.41307522515384143,400,False
